001325-0001	Highly recommended
061721-0005	Just don't go there.
061768-0001	Horrible customer service.
061768-0002	I came in to get a nice gift for my wife.
061768-0003	The one guy who was there, I'm guessing was the owner, was probably the least helpful person I've ever met.
061768-0004	But thankfully there are other flowers shops around Norman.
062167-0001	Highly Recommend
062167-0002	I work as a Transformational Life Coach.
062167-0003	Since this is an alternative therapy I always refer clients to a lisenced therapist when I feel that is appropriate.
062167-0004	I found her through a colleague one day when one of my clients was in the midst of a panic attack and needed professional help that I am not qualified to provide.
062167-0005	Little did I know that I would soon be needing her help as well!
062167-0006	She guided me through a very difficult period dealing with a family member's suicide, coupled with elder abuse.
062167-0007	I found her to be extremely solid, kind, compassionate, and intuitive as well.
062167-0008	I would recommend her highly!
063347-0001	a great vacation!
063347-0002	We wanted to see the sun - and we also got much more!
063347-0003	Excellent chefs are in the kitchen preparing memorable breakfasts.
063347-0004	After a train ride over the mountains, we enjoyed hiking in the flower-filled Wenatchee hills (in May) and a very interesting bike ride in a loop around the Columbia River...and then wine if we wanted it on the patio in the evening....
063347-0005	This is a busy group of hosts they are also running a restaurant, which also must be wonderful - so just ask for what you need, and I'm sure they will do their best to be hospitable.
063549-0001	Best food in northeast
063549-0002	Theres a reason why Frank mcclelland was named best chef of the north east reigon.
063549-0003	Food here is absolutely superb.
063549-0004	Everything is delicous and cooked perfectly.
063549-0005	The waiting staff is beyond impeccable (they refold your napkin when you go to the bathroom).
063549-0006	If you want great food then L'espalier is the place to go.
063690-0001	This office is awesome!
063690-0002	everyone here is super friendly and efficient!
063690-0003	its great to know you can get great service, great product, and for the best price all in one!
063690-0004	I've referred everyone i know here and they all feel the same way!!
063690-0005	i'll be coming back for years to come!
063754-0001	Chuck and Gretchen were very positive, and when Alan's refused to work on my bike, Chuck came right out and saw the problem and did what Alan's mechanic wouldn't do.
063754-0002	He worked on it right on the back of my car.
063754-0003	I am extremely pleased
063963-0001	Don't waste your time or money!
063963-0002	I took my 3 year old son here at the weekend and to be honest, apart from the shark walkway, I thought it was rubbish and overpriced.
063963-0003	Even taking into account the fact that my 3 year old wanted to run most of the way round, it took us just over one hour start to finish.
063963-0004	If you have been to the London Aquarium I would not even bother with this.
063963-0005	If you are really desperate for something to pass the time and are willing to shell out the best part of £30 for 2 two people then go for it.
063963-0006	(For some reason itwill not let me rate it one star - it is not rated 5 by me!)
064100-0001	Great spot to kick back for a cup of joe and a snack.
064100-0002	Cool ambience.
064146-0001	Best Pizzas and Calzones in the City!
064146-0002	What a hidden gem!
064146-0003	The food is superb and they were delivered nice and hot!
064146-0004	I highly recommend this place!
067423-0001	Doctor Hank is Amazing
067423-0002	Our family has been trusting Doctor Hank with our teeth for the last seven years.
067423-0003	I wouldn't go to anyone else.
067423-0004	Everyone on staff is very professional and friendly.
067826-0001	If you're looking for homestyle Japanese food, you can't beat this
068009-0001	Criminal Attorney Dallas
068009-0002	Dallas Criminal Attorney Peter Barrett is absolutely committed to vigorously supporting your rights and achieving a successful outcome.
068009-0003	As a qualified criminal defense attorney, he will work every possible legal "angle" (leaving no stone unturned) of your case to achieve the most favorable result possible.
068436-0001	The worst Burger King restaurant!!!
068436-0002	I generally like the BK over the other fast serving restaurants; however, I regreted to visit this restaurant at my town.
068436-0003	This is a shame of my adorable town, Branford.
068436-0004	I ordered a kid meal with a milk and found a bottle was half opened already.
068436-0005	I asked them to change it but they rudely said that it was okay.
068436-0006	Disgusting french fries is very best menu.
068436-0007	Don't go, or you will learn how to waste your money.
069995-0001	AMAZING NIGHT- Great Party Spot!!
069995-0002	Went to the Willow Lounge this past weekend for dinner and drinks...place is awesome.
069995-0003	Had to keep in mind that the A/C broke, I feel bad it was their opening!
069995-0004	Anyway, once that is fixed, this place will be amazing.
069995-0005	Drinks were awesome, prices reasonable, and staff friendly.
069995-0006	This is an awesome date spot that the area SERIOUSLY needs.
069995-0007	Check out The Willow Lounge, youll be happy!
070492-0001	Good, friendly, reasonable service
070730-0001	We decided to try this place last night because we noticed that it had some interesting things on the menu aside from the usual rolls-- live scallop sashimi, duck breast nigiri with foie gras, panko mussels-- but none of these were particularly great or worth the sticker price.
070730-0002	Additionally we tried the Logan Circle roll, spicy crab and tuna roll, and sweet potato tempura roll ($15, $10, and $3.75 respectively).
070730-0003	The sweet potato tempura roll was actually a great surprise: cheap and delicious, the only thing we tried that I would say was well worth it and a great value (and I never get vegetarian rolls).
070730-0004	The other rolls weren't at all special, especially given their pricing.
070730-0005	The bottom line is that the food isn't great and is relatively high-priced.
070730-0006	The service is solicitous, the atmosphere is nice and mod except the out-of-place flat-screen TV playing football.
070730-0007	But I'd go elsewhere unless the prices are cut.
070730-0008	It's just not worth it.
071017-0001	It was ok, nice management, they let us check in early, but the place was old.
071017-0002	It was clean, but just a little dumpy.
071017-0003	Lots of room for big rig parking.
071017-0004	Hard to get into though because of road construction.
071278-0001	WOW!!!
071278-0002	I can't say enough good things about Karla and the wonderful things she has done for me and my dog Gracee.
071278-0003	Gracee is more excited to see her than she is to see me!!!!
071278-0004	She has always been there for Gracee even for last minute calls!
071278-0005	She has taken care of my sweet girl for almost 4 years now and I would not let Gracee go with anyone besides her!!!
071278-0006	She is caring, punctual, and very enthusiastic about her job!
071278-0007	You should give her a try - it's worth every penny to know that you pet is in GREAT hands with Wunderbar pet sitting!!!!
071518-0001	Great, Honest Service
071518-0002	I took my 2001 Nissan Frontier in to fix a cracked manifold.
071518-0003	The dealer wanted $1300 to fix that and another $1500 to fix some other things.
071518-0004	Eagle Transmission determined that much of the work the dealer said needed to be done was unneccesary and what needed to be fixed was only $400!!
071518-0005	I was so impressed with the honesty and integrity of Mike and everyone at Eagle Transmission!
071518-0006	I dropped the truck off in the morning and it was ready that afternoon.
071518-0007	I have finally found a mechanic I trust!!
071518-0008	And it was great that they did not charge a service fee to diagnose the problem - an added bonus!!
071650-0001	I would NEVER recommend this gym to anyone and unfortunately this is based solely on the owner's own unprofessionalism.
071650-0002	When I originally joined in January I only did so because I was told I would be able to cancel the 12 month membership if I was to move away.
071650-0003	I signed up with one of the staff who was very pleasant and professional.
071650-0004	Actually working out there was good - the machines are nice and the classes are fun.
071650-0005	The locker room is certainly lacking - I would never shower or change there.
071650-0006	They need to update the locker rooms ASAP.
071650-0007	Back to my poor rating - I was excepted to medical school and went in to cancel my membership as I was told I could do since I was moving away.
071650-0008	The owner was VERY rude, accused me of not reading my contract, and basically told me to shut up when I was trying to ask questions to further understand the process of canceling my membership.
071650-0009	I was able to cancel it but only after paying a $50 fee (which the staff person who signed me up stated I would not have to pay if I had proof of moving) and being spoken to in a very belittling manner.
071650-0010	I would understand if I was being treated this way by a staff member but the club's actual OWNER?!
071650-0011	Bad for business.
071650-0012	I was appalled.
071650-0013	I will never recommend this gym to any woman.
071650-0014	The equipment and classes aren't good enough to deal with the rudeness from the staff!!!
071650-0015	There are better places on the Cape - FITNESS 500!
072067-0001	Great School!
072067-0002	Teachers good Diverse student body(African-American, Asian, ect.) equals kids staying here!
072271-0001	Pure Beauty
072271-0002	What a joy to stroll off historic Canyon Road in Santa Fe into a gallery with a gorgeous diversity of art.
072271-0003	Destiny Allison's metal sculptures were my favorite.
072271-0004	The owner Karla is welcoming and fun.
072271-0005	Give yourself the gift of visiting Winterowd Fine Art!
072507-0001	Dave is a patient and methodical teacher, who has a great ear and sensitivity for his students' passion and the direction they want their lessons to take.
072507-0002	Also, he loves teaching so much, his price is unbeatable, but that does not change his level of skill.
072507-0003	Dave has much to offer.
072507-0004	In just 2-3 focused lessons, I'm already now capable of picking up new songs off YouTube guitar how to videos and am even writing my own orginals with confidence!
072507-0005	~Jason
073356-0001	Beautiful hotel!
073356-0002	Great service- high class!
073356-0003	Shuttle available to a private beach area with food/drinks/towels.
073742-0001	Food is always good
074896-0001	Excellent service
074896-0002	I could easily go to Nordstrom for my designer jeans and pay the same price, but I go to the Garment District for their service.
074896-0003	Previous reviewers said they were pushy and I can understand that, but I find the staff more helpful than anything else.
074896-0004	Tiffany is fabulous!
074896-0005	I came in for alterations (free, by the way) and told her about a stain I had on my new leather purse.
074896-0006	She immediately went to the back, brought out leather cleaner and cleaned my purse on the spot.
074896-0007	I didn't even buy the bag there!
074896-0008	Huge selection and, great suggestions from the staff and they refer you to reliable places if they don't have what you need.
076352-0001	Very Accomodating
076352-0002	We were in Springfield, IL for a family funeral from Kansas City.
076352-0003	We arrived early and the staff was very accomodating to our families and the situation we were in.
076352-0004	The rooms were very clean, including the microwave and refrigerator.
076352-0005	This is a nice place, and I know we will return to meet my sister-in-law from Chicago!!
076440-0001	really amazing the new and exciting plays done at this theatre !
077034-0001	I loved the atmosphere here and the food is good, however the tables are so close together that it feels very cramped.
077034-0002	We were made to feel very welcome.
077034-0003	Well worth a visit.
077034-0004	http://cambridgefoodfrivolity.blogspot.com/
077213-0001	the food is mediocre at best.
077213-0002	the waitress took my name and then called me that all night.
077213-0003	not sure how I feel about that one.
077213-0004	it's passable as a pub, but the pizza is not that great.
077213-0005	if you want good pizza, go to famoso.
077213-0006	seriously.
077298-0001	Had a horrible experience with a manager here, Rachel McInnis, she was rude, inconsiderate and did not do the right thing for an item that was marked incorrectly...
077298-0002	I'm not interested in shopping in a place with people like her... she refused to sell me the item at its marked price even after admitting they had made a mistake.
077298-0003	I normally don't write reviews but seeing that I considered Dillards a distinguished, upscale place to shop, this one won't be getting my business, nor my family's, nor my co-workers.
077298-0004	It's never ok to let a customer walk out unhappy, especially when they are right.
077344-0001	No service.. But good food..
077414-0001	Small Firm with Great Service
077414-0002	Bloom Legal was really attentive to my problem, and Seth Bloom took the time to help me understand the legal issue I was dealing with.
077414-0003	I much preferred the one-on-one service here to the experiences I've had with bigger offices and firms.
077414-0004	While I hope I don't have any need for a lawyer anytime soon, if I do I'll definitely use this firm again.
079007-0001	Their food and sweets are awesome.
079007-0002	But service is very poor.
079007-0003	Attitude of staff very bad.
079007-0004	Never gives a receipt.
079007-0005	Sometimes even gives wrong dish.
079007-0006	So confused at the payment area.
079007-0007	Line up is so stupid.
079007-0008	Even if you line up.
079007-0009	To make a order you may have to go to back of line.
079007-0010	And then wait again.
079007-0011	Not organised.
079375-0001	Thank you!
079375-0002	I recently took a rescue puppy to this Clinic and I was SHOCKED at how well Romeo and My family was treated.
079375-0003	They worked around the clock to ensure that my puppy life was saved.
079375-0004	We have to leave him at the vet for 3 days and I was told to call for check ups as often as I wished that no matter how many times I called I would not annoy them.
079375-0005	lol They where super friendly towards us and treated us like people not walking bags of cash.
079375-0006	In this day its rare to find such wonderful people who CARE , Not the kind of want to make cash.
079375-0007	I would strongly suggest you give them the chance to prove to you that not all people in this world are evil!
079375-0008	I will never go to another vet as long as I have animals.
079375-0009	I live nearly two hours away and yet I will still make the drive to see them!
079375-0010	Infact I look forward to taking my animals to the vet simply because of how my animals and I are treated.
079827-0001	Fantastic fresh food!
079827-0002	What a neat gem of a restaurant in a corner one wouldn't expect it.
079827-0003	Cozy, warm atmosphere, great service.
079827-0004	Most importantly, the food was outstanding.
079827-0005	It clearly had been prepared from fresh ingredients.
079827-0006	We'll be back often.
080178-0001	You will be happy at this store!
080178-0002	Allen Tire was recommended by friend after my having bad tire experiences in Temecula.
080178-0003	The store manager, Jim Smith, made an excellent tire recommendation for my newly acquired Lexus.
080178-0004	Tires were the right price and now the car feels like it is riding on rails around turns.
080178-0005	The store is clean, run very professionally and a pleasure to be in.
080178-0006	They know their job and you do not have to watch them to be sure everything is done right.
080221-0001	Hino Dealer of the Year
080221-0002	Congratulations Prestige Hino!
080221-0003	You have been awarded the converted Hino Dealer of the Year!
080221-0004	Each of you should be proud of your massive contributions throughout the year!
080221-0005	Major Awards – Overall Hino dealer of the year.
080221-0006	Overall Hino finance dealer of the year.
080221-0007	Major Awards – Market leader overall, Dandenong PMA, sales.
080221-0008	Market leader medium duty, sales.
080221-0009	Well done to Anthony and the team!
080221-0010	Bronze award service excellence, metro.
080221-0011	Well done to Brendan and the team!
080221-0012	Gold award parts excellence, metro.
080221-0013	Well done to Jason and the team!
080814-0001	Fantastic professional service -
080814-0002	These guys really know their stuff .. they have almost anything you could want in terms of spy and surviellance equipment.
080814-0003	Truly james bond style stuff ... would recommend
080854-0001	Fast and affordable.
080854-0002	Great job master keying our building.
081116-0001	Best fried shrimp in the state!
081796-0001	Exile is the best!!!
081796-0002	Exile is the longest lasting and most authentic punk store in Richmond!
081796-0003	I have been shopping there for over six years now.
081796-0004	The staff is incredibly friendly and helpful and the owner, Mimmy, is an absolute angel.
081796-0005	The mark up is minimal considering that the clothing is hard to find and often shipped for Europe.
081796-0006	In addition, the clothing is of much better quality than the clothing from hot topic, which is made as cheaply as possible by people living in horrible conditions in Asia.
081796-0007	Exile is environmentally conscious and involved heavily in our community.
081796-0008	Shop local at Exile!!
081934-0001	Liquidweb.com Rocks!!!
081934-0002	I am not a client of liquidweb.com, but one of my friend called Steven is the client having several websites.
081934-0003	I work with him and since past 6 years he is hosting his websites to Liquidweb.
081934-0004	As I have gone through many reviews sites to see if any provider is providing better services or not, and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting.
081934-0005	The kind of support they provide is simply great!!!
081934-0006	I would like to host my upcoming website to Liquidweb.com
083454-0001	I didn't end up buying my car here, but I did think the guy who worked with me was pretty cool - he was willing to budge a little on the price which means a lot to me.
083454-0002	Also they will fill your tires with air and other small maintenance tasks for free, even if you didn't buy your car there!
083459-0001	They don't seem to be interested in selling cars.
083459-0002	Went there yesterday: we are trying to decide between two different Honda models, so we wanted to test-drive both back to back.
083459-0003	The salesperson refused!
083459-0004	Claimed he was too busy for two test drives.
083459-0005	We were the only customers there!
083459-0006	Don't waste time, just drive 10 minutes more down to Stevens Creek, they actually do try to help their customers there!
083563-0001	We would like to thank our emergency plumbers who visted our shop in Morningside Road today.
083563-0002	A fast service, saved a bad situation getting alot worse.
083563-0003	many thanks 2scompany...
083849-0001	Surprisingly, this little strip mall restaurant has the best sushi I've found in the Tampa area.
083849-0002	It's fresh and really tasty.
083849-0003	I'll drive an hour just for their volcano, yum!
084373-0001	We are very pleased with the services of First Glass Window.
084373-0002	Our window panes were so dirty that they needed a specialist to come and clean them.
084373-0003	We called few companies before we decide to hire them.
084373-0004	They came on time and completed their work quickly.
084373-0005	We were very happy how clean looked our windows.
084373-0006	If you have some problems with your windows, you should call them.
085009-0001	Awesome Landscaping Job
085009-0002	MFJ Inc transformed our run down back yard into a place of beauty.
085009-0003	The work was completed within one week, and everything was cleaned up on completion.
085009-0004	Highly recommended landscaper!!!
085424-0001	Cathy ******Five Stars for Lake Forest Tots.
085424-0002	The program has been a postive experience for my children.
085424-0003	I have had all three of my children attend Lake Forest Tots.
085424-0004	The program is well established and we have been extremely satisfied with the teachers, the programs and the director.
085424-0005	Good job, Lake Forest Tots!
085980-0001	After recently relocating to South Bend, we were looking for a delicious, fun, yet elegant establishment for New Years Eve dinner.
085980-0002	We were disappointed with this holiday dinner due to the overall flavor and price of the meal, and accessibility to the Jazz Club.
085980-0003	The meal was extremely overpriced and lacked flavor, especially for being a special NYE menu.
085980-0004	The limited menu had few appetizing options and the NYE special packages were way overpriced.
085980-0005	After our meal, our server found us a table in the jazz club where we were informed it would be another $10/person to stay and listen to the band, despite the fact we had just finished a dinner there and were intending to enjoy their drink list.
085980-0006	This was a less than impressive experience at Trio's.
086839-0001	Terrible Service
086839-0002	One of the worst experiences I've ever had with a auto repair shop.
086839-0003	We took our vehicle in for a repair to the air conditioning.
086839-0004	Approx 4 months later, the compressor went out.
086839-0005	We took it back in to have it repaired again, and less than a week later the second compressor went out.
086839-0006	We went in for a third visit and they fixed it again, but this time when we picked up the car, the radio and clock did not work.
086839-0007	So for the 4th time in 5 months and the third time in 2 weeks, we brought the car back again.
086839-0008	When we expressed our discontent to the manager (that's right, the manager), did he say he would return some money, did he say he would give a discount on our next visit, did he just say "I'm sorry".
086839-0009	Nope, none of the above.
086839-0010	He stood there and told us how he wasn't at fault.
086839-0011	It was the fault of the parts supplier, and can we imagine how he felt having to put another 2 hours of work in the car.
086839-0012	And what did we expect...that he bench test every part.
086839-0013	At no time during the conversation did the words, "I'm sorry" ever come out of his mouth.
086839-0014	I, nor anyone else in my family, will ever go to Sun Devil Auto again.
086839-0015	Well, unless of course the third compressor he put in the car goes out.
086914-0001	Wonderful Wonderful People!
086914-0002	I refer to VNHH often and love you guys.
087176-0001	A++
087176-0002	They are by far the best salon in 50 miles, Trust me I know!!
087368-0001	Walgreens on University
087368-0002	My pharmacy order is always correct and promptly delivered but the pharmacy staff are always very short with me and don't seem to like answering questions.
087368-0003	Clean store, friendly check-out staff up front.
087368-0004	Good selection.
088914-0001	They did a vehicle wrap for my Toyota Venza that looks amazing.
088914-0002	They also do banners, billboards and lots more.
088954-0001	A thoroughly comprehensive service; excellent communication and best of they are transparent with their fee (ie nothing is simply implied or assumed).
089136-0001	AWESOME food!
089136-0002	Make sure to put OILY sauces on your food to make it moist!
089136-0003	YUM
090136-0001	simple but perfect
090136-0002	IF you want flashy fancy food stacked high with lots of fussy garnishes, this is not the place for you.
090136-0003	If you want perfectly executed simple dishes that feature a few exquisite ingredients, you'll love Vetri.
090136-0004	Hands-down the best pasta and gnocchi I've ever eaten (and I've eaten a lot).
090136-0005	The antipasti were amazing, the wines were mind-blowing, the service couldn't have been better.
090136-0006	I've dined at lots of high-end restaurants and I've never before felt my money was so well spent.
090390-0001	wrong location
090390-0002	this is not where the Blue Water Bridge Duty Free is located.
090390-0003	It is, surprisingly, near the Blue Water Bridges, some miles to the west of this location.
090643-0001	Outstanding service & quality at a very affordable price!
090643-0002	This place is top notch and highly affordable!
090643-0003	I would recommend it hands down and am a loyal customer.
090643-0004	I've also sent over a number of friends to use the services here and everyone is extraordinarily pleased!
090643-0005	Thanks for doing such great work on my important pieces of clothing that always look great!
091704-0001	Oil Change Disaster
091704-0002	My wife had taken her '07 Ford Fusion in for a routine oil change.
091704-0003	A couple days after the oil change, the engine ran rough, the low oil pressure light would come on sporadically, and the engine would whir loudly.
091704-0004	Turns out the engine had no oil, and when oil was put it, it would just run out of the filter.
091704-0005	There could have (hopefully doesn't have) major damage to the engine.
091704-0006	All of this started after their oil change.
091704-0007	Once they realized their mistake they sent a mechanic and tow truck to my wife's work and towed it back to fix it.
091704-0008	I would not recommend this shop for anything, not even something as simple as an oil change.
091704-0009	Plus they will overcharge you for just about everything, and smile while doing it.
093655-0001	HORRIBLE SERVICE AND FOOD
093655-0002	not only is this place too expensive for what it is, its horrible!
093655-0003	In the past, I got a steak and there was more fat and rough pieces than there was good steak (and this was the sirloin!), the sides were drenched with butter and the salad was a little on the brown side.
093655-0004	Today we went for a party (during lunch, so the place was empty) with about 25 other people.
093655-0005	It took over 1.5 hours for our food to come out and by that time my 8 month old had it!
093655-0006	Does it seriously take that long for a soup and salad?
093655-0007	I was a waitress for years and a key rule is to serve customers with small children before others, as I was the last to get my food.
093655-0008	I would NOT recommend having a party here or even going here.
093655-0009	Texas Roadhouse is WAY better!!
094189-0001	Needs to go out of business
094189-0002	They close whenever they feel like it, often well before their listed closing time.
094189-0003	Their store is dusty, dirty and feels like you're stepping into the 1970s.
094189-0004	They don't take coupons.
094189-0005	They have a credit card minimum.
094189-0006	This place is the opposite of QuikTrip: crappy in every way.
094621-0001	Disatisfied customer, I went through Kitchen Aid and used one of their recommended vendors.
094621-0002	A&E came out, charged $129 fee just to walk in the door.
094621-0003	I needed a part for my appliance, the cost was very high so I said never mind, paid the fee and called a local business for a second quote.
094621-0004	The second vendor charged $55 (less than half of what A&E charges) to come and applied that to the price of the repair service (which A&E does not).
094621-0005	Their quote came in at half the price of A&E for the same work and same part.
094621-0006	Seems to me like A&E charges way more than necessary!
094621-0007	Very disappointed in Kitchen Aid as well, I thought that they pre-screened their vendors for price and quality of work, obviously they do not!
095040-0001	Extremely helpful and professional
095040-0002	As first-time home buyers, my husband and I found Stephanie Fairchild at Prudential Steamboat Realty, extremely helpful.
095040-0003	She worked with us for over a year, helping us find our perfect home.
095040-0004	Stephanie's knowledge of the market and properties in our price range, made us feel secure in our decision to buy when we did.
095040-0005	We would highly recommend Stephanie to anyone looking for a home in the Yampa Valley.
095040-0006	We appreciated her patience, knowledge and kindness!
095523-0001	GREAT SERVICE AND PEOPLE!!
095523-0002	Deb Watson is the contact person and she and the rest of the staff were great!!!
095523-0003	She continues to help me when needed even if I have a service question.
095523-0004	Since I'm usually at work late Deb has stayed around to help me out when needed.
095523-0005	This was after I brought the car!!!!!
095523-0006	Service does not get any better!!!!
096340-0001	ONe of a few.
096340-0002	Hancocks is one of four fabric stores in Fort Smith.
096340-0003	We have Hobby Lobby, Just for Fun Fabrics, Walmart, and Interior Mall just inside Barling.
096340-0004	They do have a good selection of fabric and notions.
097507-0001	Best meat pies in Canada
097507-0002	If you are looking for authentic British meat pies, then look know further.
097507-0003	I especially like the Chicken Curry pie.
097507-0004	Good Food.
097507-0005	The owner/baker, "Pie Guy" is a hoot to deal with as well.
097507-0006	Mo
097548-0001	The company gets busy but you never have to wait long because they ARE orginizied, so you are in, out, and paid well for your scrap
099279-0001	excellent!
099279-0002	answered all my questions, and called me back when I needed something.
099279-0003	highly recommended!
100592-0001	Top range of bike, cheap prices, excellent a+++
100592-0002	yep they fixeded my thumpstar in 1 day.
100592-0003	it wasent going an had a gear box problem....
100592-0004	i coldn't find anywere else local to fix it so i took it there and they fixed it for $150...
100592-0005	thanks guys goes really well and thaks 4 the cheap price..
100592-0006	excellent, top guys a+++++ reccommend to anyone!!!!!!!!!!
101398-0001	Disappointed
101398-0002	The Bad: I was at Napa recently and was unpleasantly surprised at poor waiter svce and subpar food.
101398-0003	We were a party of 4 and none of us were particularly pleased with our dishes.
101398-0004	Napa is all about wine but gives very short descriptions of the wines on their lists.
101398-0005	I found my initial selection satisfactory but the wine flight we chose to be poorly composed.
101398-0006	If you must go ask lots of questions about your selections since your expectations may as high as mine were.
101864-0001	No complaints
101864-0002	I have no complaints about the service I received.
101864-0003	This man was polite, professional, clean and quick.
101864-0004	I never felt worried and walked away satisfied.
101972-0001	Poor service
101972-0002	If you like the drama described in popular sitcom 'Seinfeld', you will see it here.
101972-0003	We signed our name in about 6:00pm.
101972-0004	There were 3 names before us.
101972-0005	The greeter said there was about 15 minutes waiting.
101972-0006	However, we waited and waited and in the mean time, saw 4 groups of people simply just paraded in without signing there names.
101972-0007	This sign in policy is posted by the restaurant “no reservation, sign your name here”.
101972-0008	I had to ask the greeter, he explained his reasons with broken English.
101972-0009	I could not understand any his reasons.
101972-0010	I could only take it as they would seat the people they know first.
101972-0011	My conclusion is that you should only go there if you want to wait a least an hour and see all kinds other people being seated before you.
103519-0001	umm...
103519-0002	okay, I dont have a review, but why in the hell would you name your business something that has the initials KKK....is there something behind the scenes at this place?
103519-0003	Like I'm legitimately concerned at this point...lol
103609-0001	Great Family Fun and Bonding
103609-0002	What more can be said: "Burch's Karate is the GREATEST!"
103878-0001	You guys do everything wonderful!
103878-0002	We honestly cannot think of even 1 thing we didn't like!
103952-0001	Great
103952-0002	This is a perfect place to get your hair done.
103952-0003	I have gone there time and time again whenever I need to get my hair done or when I want a haircut.
103952-0004	When I get my hair done there, they use enough hairstyling products while it does not ruin your hair.
103952-0005	The service is great and during weekends it tends to get busy, but the wait is worthwhile.
104703-0001	best
104703-0002	Best pedi mani Ive ever had.
104703-0003	Darla is amazing, I would recoment her to anyone.
105237-0001	Worst place flour tortillas are always hard the beef enchiladas are discussing meat all over cooked was good many yrs ago but restaurant has gone down hill
105326-0001	How a pizza place should be!
105326-0002	+ there is a free cola with every pizza.
105518-0001	Great experience - consider checking out their puppies before buying from a breeder!
105518-0002	I adopted a 3.5 month old yellow lab last winter from the Dumb Friends League.
105518-0003	The staff was very helpful in finding the right dog for me and the care my pup received was outstanding.
105518-0004	If you are on the lookout for a pure breed pup don't forget to check out the shelters!
105518-0005	My pup has a wonderful temperment and has been a wonderful addition to my family!
105719-0001	Over priced for Mexican food
106150-0001	We love Little Farmer
106150-0002	We attend LFTD and our children LOVE it!!
106150-0003	They even want to go to school on the weekends!!
106150-0004	They are preparing my older son for kindergarten and looks forward to seeing his teacher and friends everyday.
106150-0005	My infant is content everyday when I drop off and pick up.
107292-0001	awesome bagels
107292-0002	long lines on the weekends but worth it
107608-0001	excellence in glasgow
107608-0002	Iv just had my bmw z3 rear window replaced by the guys at kelvin trimmers.
107608-0003	The team who work there are helpfull, friendly and extremely knowledgeable and will help you as much as they can with thier years of hands on practice.
107608-0004	Highly recomended.
107692-0001	Long Lines, Silly Rules, Rude Staff, Ok Food
107692-0002	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills into the parking lot.
107692-0003	A restaurant with this many patrons willing to stand in line just to order tacos must be good, right?
107692-0004	I mean, that's the way it works at amusement parks: the longest lines are at the best rides.
107692-0005	Well, this may be an exception.
107692-0006	The staff taking your order and "waiting" on you are very indifferent and have no sense of costumer service at all.
107692-0007	I have gotten better results talking to COMCAST customer service than with these folks.
107692-0008	And don't even think about asking to speak to the manager because this guy is, and pardon my French, a jerk.
107692-0009	If you have gotten through ordering, dealing with the rude staff and if you followed the dumb rules, you are finally presented with what you came for..some tacos that are "ok," but definitely not worth putting up with all the hassle.
107692-0010	Save yourself the trouble and skip this place all together.
107692-0011	I suggest you go up to Raging Taco & Raging Burrito a couple of blocks up the street or even Taco Mac.
108338-0001	The internet here is terrible.
108338-0002	Like the previous poster said, the com lines are split between the entire building.
108338-0003	That's 3x worse than Qwest DSL's lowest speed offering!
108338-0004	The outward appearance makes you think this place is nice, but everything inside is cheap cheap cheap.
108338-0005	Moving out as soon as our lease is up.
108338-0006	http://www.speedtest.net/result/1155244347.png
109263-0001	I have been here 3 times and all 3 times it has been bad!
109263-0002	They have messed up my order and.... The food was just not good!
109263-0003	I had sonic in many other palces but for some reason this sonic is always just covered in grease and not good... :(
109263-0004	I hope they get there act together...
109263-0005	I am going to give it one last chance in next few months and see??
110441-0001	Favorite place in Tampa.
110441-0002	Update: I had to add to my review.
110441-0003	I was just in last night and had a chance to dine in their new dining room.
110441-0004	AMAZING!
110441-0005	I frequent this resturant on a weekly basis but usally only for lunch.
110441-0006	Well I was in for a treat when I was greeted by the friendly girls at the counter who asked if my wife and I would like to sit in their "new" dining room.
110441-0007	Right away they told us that it was the same great food with the same prices so off we went.
110441-0008	We were greeted again and sat promptly.
110441-0009	After looking at the menu and seeing the new menu items they had, we knew we were in for a treat!
110441-0010	I had the Chicken Parmesan Dinner and my wife had the Shrimp Scampi Dinner.
110441-0011	AMAZING!
110441-0012	The portions were generous enough that we even took some home!
110441-0013	I have to say the value of this place always amazes me.
110441-0014	It's nice to see that even in the economy we can eat a place that has upscale service, amazing atmosphere, and Incredible food, but not break the bank while enjoying it!
110441-0015	Bottom line is that when it's a small privatly owned resturant like this is you can tell that the owners and employees take pride in their product and service.
110441-0016	Well Done!
110908-0001	Great pub
110908-0002	Had a meal in this pub and i have to say it was excellant.
110908-0003	It has to be one of the nicest pubs that i have been into in a long time, the decor is nice and it has a really nice garden and a lovely decking area.
110908-0004	Good beer good service and what more could you want.
111583-0001	All I can say is that I am glad I went in!
111583-0002	The nurses are sweet as pie and the doctor is wonderful.
111583-0003	This place is about healing, not making a buck.
111583-0004	The followup visit is FREE!!
111583-0005	After going to the hospital and paying ER prices ... there is no way I won't be back here!!
111583-0006	I will be back and telling EVERYONE about this clinic.
111583-0007	THANK YOU!!
112579-0001	My favorite cuban cafe in Orlando
112579-0002	I have been eating Cuban for a long time, sandwiches mainly along with other dishes..
112579-0003	I love Cuban coffee, colada... mmmm anyways I found this place and can't stop going there, I stop in at least once a week and anytime I'm in the area for a Cuban coffee or snack.
112579-0004	The place is chill and comfortable.
112579-0005	They don't speak the best English but enough to get by.
